,SRX5961261,SRX3266939
poxB,57,2
hcr,85,27
hcp,57,107
ybjE,553,32
ybjD,515,35
ybjX,1604,16
ybjY,447,74
ybjZ,474,144
cspD,103,0
yljA,223,122
clpA,2137,1338
tnpA_1,7,0
STM0950,43,13
STM0951,22,11
STM0952,475,6
infA,547,106
STM0954,304,200
aat,278,24
cydC,496,197
cydD,511,179
trxB,1717,461
lrp,2202,272
ftsK,5064,1018
lolA,734,31
ycaJ,933,64
serS,4707,990
dmsA,37,10
dmsB,6,3
dmsC,9,12
ycaD,37,75
ycaM,61,8
pflA,773,334
STM0971,39,0
STM0972,10,165
pflB,2908,924
focA,501,97
ycaO,1261,689
ycaP,10,8
serC,1163,112
aroA,1047,75
ycaL,226,6
cmk,2076,280
rpsA,70653,78336
himD,1463,344
ycaI,84,13
msbA,1167,190
lpxK,707,243
ycaQ,249,16
ycaR,32,6
kdsB,298,281
STM0989,139,116
ycbC,105,0
smtA,414,78
mukF,310,295
mukE,292,124
mukB,4396,2158
ycbB,1029,55
ycbK,358,16
ycbL,360,131
aspC,1348,441
ompF,1499,367
asnS,2330,1386
STM1001,37,0
STM1002,10,5
STM1003,11,0
pncB,2140,25
STM1005,444,192
STM1006,19,0
STM1007,0,0
STM1008,1,0
STM1009,0,0
STM1010,0,0
STM1011,0,0
STM1012,0,0
STM1013,0,0
STM1014,0,0
STM1015,0,0
STM1016,0,0
STM1017,0,0
STM1018,0,0
STM1019,0,0
STM1020,26,0
STM1021,0,0
STM1022,0,0
STM1023,0,29
STM1024,275,0
STM1025,1411,152
STM1026,25,10
STM1027,0,0
STM1028,2,2
STM1029,0,2
STM1030,0,23
STM1031,0,26
STM1032,0,26
STM1033,0,12
STM1034,0,4
STM1035,0,4
STM1036,0,0
STM1037,0,9
STM1038,0,18
STM1039,0,9
STM1040,0,8
STM1041,0,59
STM1042,1,3
STM1043,33,1
sodC,140,2
STM1045,58,12
STM1046,21,3
STM1047,10,5
STM1048,155,26
STM1049,31,1
STM1050,8,2
sseI,28,17
STM1053,21,4
STM1054,6,1
STM1055,18,2
STM1056,2,2
pepN,665,395
pyrD,217,11
ycbW,318,51
STM1060,238,21
ycbY,704,596
uup,1025,639
pqiA,401,87
pqiB,722,261
ymbA,243,2
rmf,131,7
fabA,2944,449
lonH,3442,597
ycbG,405,31
ompA,47243,4976
sulA,2027,34
yccR,56,8
yccS,482,54
yccF,70,20
helD,272,218
mgsA,109,21
yccT,44,3
STM1078,128,31
yccV,331,149
yccW,802,184
STM1081,56,3
STM1082,111,6
yccX,57,11
yccK,363,285
yccA,1403,219
pipA,1338,3
pipB,73,5
STM1089,2,0
pipC,7,0
sopB,31,1
orfX,0,4
STM1093,1,0
pipD,135,2
copS,353,7
copR,273,19
STM1097,189,1
hpaC,54,0
hpaB,139,0
hpaR,317,0
hpaG,8,6
hpaE,44,19
hpaD,13,3
hpaF,3,0
hpaH,8,2
hpaI,9,4
hpaX,50,5
hpaA,52,5
STM1109,51,1
STM1110,112,0
yccD,78,16
cbpA,225,27
scsA,200,148
scsB,296,65
scsC,46,27
scsD,81,43
agp,196,46
yccJ,50,0
wraB,69,18
ymdF,53,0
ycdC,109,39
STM1123,109,25
putA,365,85
putP,313,57
phoH,370,8
STM1127,428,11
STM1128,85,1
STM1129,12,0
STM1130,4,0
STM1131,0,6
STM1132,2,2
STM1133,76,15
ycdW,304,94
ycdX,419,86
ycdY,454,23
ycdZ,400,14
csgG,160,0
csgF,32,0
csgE,55,0
csgD,173,2
csgB,4,0
csgA,63,0
csgC,10,3
ymdA,16,14
STM1147,102,30
ymdC,464,163
mdoC,831,7
mdoG,1522,338
mdoH,2363,739
yceK,57,3
msyB,42,8
yceE,159,6
htrB,716,164
yceA,722,156
yceI,146,9
STM1158,68,3
yceO,8,0
solA,344,24
yceP,711,39
dinI,181,1
pyrC,606,48
yceB,1153,34
grxB,422,2
yceL,95,26
rimJ,166,31
yceH,157,77
mviM,176,54
mviN,483,72
flgN,213,36
flgM,151,33
flgA,175,248
flgB,137,54
flgC,64,78
flgD,195,398
flgE,513,886
flgF,206,412
flgG,230,122
flgH,123,108
flgI,157,416
flgJ,192,360
flgK,1477,1089
flgL,1167,434
rne,8442,1539
rluC,878,171
STM1188,373,64
yceF,336,2
yceD,20478,8420
rpmF,8741,985
plsX,3597,4015
fabH,2758,1500
fabD,3421,3057
fabG,7632,3350
acpP,9332,2951
fabF,11853,5392
pabC,209,18
yceG,183,199
tmk,283,181
holB,556,48
ycfH,478,285
ptsG,6918,3901
fhuE,482,226
ycfF,185,11
ycfL,157,54
ycfM,284,45
ycfN,175,43
nagZ,257,107
ycfP,220,35
ndh,2293,218
ycfJ,306,6
ycfQ,287,42
ycfR,1463,154
ycfS,543,73
mfd,1239,268
ycfU,332,77
ycfV,246,127
ycfW,635,48
ycfX,445,465
cobB,604,63
potD,763,137
potC,668,153
sifA,96,4
potB,458,49
potA,1085,222
pepT,90,24
STM1228,110,4
ycfD,730,147
phoQ,785,50
phoP,588,23
purB,914,170
ycfC,824,82
trmU,1736,778
ymfB,81,25
STM1236,45,5
ymfC,104,65
icdA,4553,663
STM1239,126,0
envF,48,1
msgA,295,177
envE,821,30
STM1243,1840,7
pagD,5,0
pagC,26,5
STM1249,263,13
STM1250,64,21
STM1251,203,270
STM1252,267,33
STM1253,137,7
STM1254,194,60
STM1255,126,60
STM1256,56,14
STM1257,109,11
STM1258,45,0
STM1259,31,0
STM1260,78,7
STM1261,41,8
STM1263,103,4
aadA,195,2
STM1265,15,0
STM1266,2221,55
STM1267,78,2
STM1268,6,4
STM1269,31,0
yeaS,457,58
yeaR,27,15
yoaG,13,4
STM1273,68,1
yeaQ,74,4
yaoF,67,1
STM1276,229,51
yeaO,332,19
yeaN,242,8
yeaM,52,15
yeaL,85,14
STM1281,16,15
yeaK,50,6
yeaJ,77,1
yeaH,309,58
yeaG,94,28
mipA,898,852
STM1287,43,16
STM1288,81,39
yeaD,295,24
gapA,11620,3268
yeaA,280,41
yeaC,241,27
pncA,266,25
ansA,348,16
sppA,729,238
ydjA,389,12
selD,746,191
topB,1084,318
gdhA,633,100
STM1300,77,11
STM1301,184,6
xthA,482,90
astC,20,6
astA,29,0
astD,15,11
astB,8,17
astE,10,20
spy,129,17
STM1309,325,187
nadE,825,21
osmE,70,42
celA,163,3
celB,54,5
celC,17,11
celD,43,26
celF,36,47
celG,33,28
katE,78,1
cedA,105,15
ydjN,1937,73
ydjM,260,5
yniC,231,238
yniB,178,24
STM1324,159,7
ydiZ,28,0
pfkB,205,48
ydiY,743,71
STM1328,34,3
STM1329,0,0
STM1330,58,3
STM1331,13,0
rfc,378,11
thrS,11417,3867
infC,31874,3319
rpmI,13499,1836
rplT,25169,14434
pheS,605,414
pheT,2594,2867
himA,1648,402
btuC,376,130
btuE,130,31
btuD,118,23
nlpC,85,16
ydiV,57,7
ydiU,1353,48
ydiE,256,7
aroH,488,57
ydiA,112,10
pps,172,219
ydiD,88,10
ydiT,2,3
ydiS,62,0
ydiR,45,2
ydiQ,59,1
ydiP,11,0
ydiO,23,11
ydiF,16,26
aroD,66,29
ydiB,17,2
ydiN,2,0
ydiM,17,0
ydiL,4,0
ydiK,313,52
ydiJ,559,114
STM1366,27,12
ydiH,63,41
STM1368,96,13
sufA,29,14
sufB,127,66
sufC,69,83
sufD,152,114
sufS,116,81
ynhA,43,6
ynhG,171,31
lppB,155,13
lpp,30351,4209
pykF,5159,1146
orf48,143,4
orf32,91,0
orf245,6,5
orf408,1,0
ttrA,67,6
ttrC,10,0
ttrB,20,0
ttrS,182,52
ttrR,12,9
orf70,40,67
orf319,1045,52
orf242,240,5
ssrB,8,0
ssrA,55,4
ssaB,2,0
ssaC,9,0
ssaD,3,9
ssaE,3,0
sseA,2,25
sseB,5,32
sscA,26,26
sseC,12,121
sseD,3,0
sseE,0,0
sscB,5,0
sseF,7,16
sseG,13,4
ssaG,1,3
ssaH,0,13
ssaI,1,0
ssaJ,5,49
STM1410,1,6
ssaK,1,4
ssaL,16,45
ssaM,3,3
ssaV,13,11
ssaN,35,18
ssaO,1,2
ssaP,2,2
ssaQ,18,6
ssaR,5,18
ssaS,2,0
ssaT,5,3
ssaU,408,0
ydhE,378,143
ribE,98,121
cfa,465,39
ydhC,849,36
ydhB,125,8
purR,1720,189
sodB,1514,93
ydhO,200,12
ydhD,1483,709
rnt,747,124
gloA,382,71
nemA,364,52
ydhM,302,10
ydhL,10,0
ydhF,471,12
sodC,121,60
STM1441,306,15
ydhJ,155,1
ydhI,60,6
slyA,872,226
slyB,1445,93
ydhH,161,39
ydhA,55,11
pdxH,288,44
tyrS,3241,822
pdxY,637,39
gst,272,9
ydgR,3745,381
nth,546,104
ydgQ,486,149
ydgP,480,83
ydgO,815,116
STM1457,1767,413
ydgM,253,75
STM1459,872,306
ydgK,1297,43
ydgT,618,37
ydgJ,495,42
add,777,298
ydgA,1150,156
manA,370,111
fumA,758,170
fumC,225,17
tus,150,7
rstB,108,40
STM1472,113,1
ompN,19,1
rstA,334,74
ydgC,162,6
ydgI,922,102
ydgH,2010,251
pntA,1784,706
pntB,1130,455
STM1481,228,16
ydgF,251,28
ydgE,89,23
STM1484,262,20
STM1485,28,4
ynfM,160,24
ynfL,110,6
mlc,127,69
ynfK,49,75
STM1490,170,22
STM1491,115,4
STM1492,47,20
STM1493,46,3
STM1494,41,0
ynfI,299,54
STM1496,189,17
STM1497,14,0
STM1498,103,1
STM1499,113,9
ynfD,192,18
ynfC,249,46
speG,388,349
ynfB,324,50
ynfA,17,24
rspA,16,2
rspB,12,0
ydfJ,2,10
ydfI,108,56
ydfZ,38,7
ydfH,509,5
ydfG,607,158
dcp,216,87
STM1513,4,0
ydeJ,15,0
ydeI,61,0
ydeE,397,0
ydeD,70,11
marB,94,0
marA,191,0
marR,161,2
marC,170,8
ydeA,209,37
yneJ,140,9
yneI,65,19
yneH,285,89
yneG,80,12
STM1527,829,12
STM1528,83,0
STM1529,5,0
STM1530,25,0
STM1531,6,0
STM1532,23,0
STM1533,39,3
STM1534,32,7
STM1535,8,0
STM1536,24,13
STM1537,18,3
STM1538,34,4
STM1539,9,7
STM1540,33,0
STM1541,232,31
STM1542,69,3
STM1543,5,3
pqaA,9,0
STM1545,20,0
STM1546,48,10
STM1547,72,30
STM1548,31,3
